PLAYER,2024 SALARY,2024 SIGNING,G,GS,MIN,PTS,FGM,FGA,FG%,2:00 PM,2PA,2P%,3:00 PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,TOV,STL,BLK,PF
Jewell Loyd,"$241,984 ",Core,38,38,35.4,24.7,7.5,20.3,37.00%,4.5,11.8,38.00%,3,8.5,35.60%,6.7,7.5,88.80%,1.1,3.6,4.7,3.4,2.8,1,0.4,1.7
Breanna Stewart,"$205,000 ",Core,40,40,34.1,23,7.9,17,46.50%,5.9,11.2,52.10%,2.1,5.8,35.50%,5.1,6,85.10%,1.6,7.7,9.3,3.8,1.5,1.5,1.6,1.9
A'ja Wilson,"$200,000 ",RFA,40,40,30.7,22.8,8.4,15,55.70%,8.2,14.3,57.00%,0.2,0.7,31.00%,5.8,7.2,81.20%,2.1,7.5,9.5,1.6,1.6,1.4,2.2,2.1
Napheesa Collier,"$208,219 ",--,37,37,33.5,21.5,8,16.6,48.50%,7.1,13.5,52.70%,0.9,3.1,29.80%,4.5,5.4,84.00%,1.9,6.6,8.5,2.5,2.4,1.6,1.2,2.4
Arike Ogunbowale,"$241,984 ",--,40,40,37.2,21.2,7.5,18.8,39.80%,4.6,10.3,44.30%,2.9,8.5,34.30%,3.4,3.8,87.60%,0.5,2.9,3.4,4.5,2.6,1.7,0.1,2.7
Nneka Ogwumike,"$204,500 ",UFA,36,36,31.1,19.1,7.3,14.3,51.20%,6.8,12.6,53.50%,0.6,1.7,33.90%,3.9,4.5,87.00%,1.7,7.1,8.8,2.7,2.2,1.7,0.7,2.6
Kahleah Copper,"$241,984 ",Core,38,38,31.2,18.7,6.9,15.4,44.80%,5.1,10.9,46.60%,1.8,4.5,40.40%,3.1,4,77.00%,0.7,3.7,4.4,2,2.5,0.9,0.3,2.4
Kelsey Plum,"$200,000 ",--,39,39,32.4,18.7,6.4,13.4,47.50%,3.9,7.2,55.00%,2.4,6.3,38.90%,3.5,3.8,91.20%,0.2,2.2,2.4,4.5,2.1,1.1,0,2.4
Satou Sabally,"$195,000 ",RFA,38,38,33.1,18.6,6.2,14.3,43.50%,4.5,9.5,47.20%,1.7,4.8,36.10%,4.4,5,87.40%,2.3,5.8,8.1,4.4,2.9,1.8,0.4,3.6
Kelsey Mitchell,"$212,000 ",--,40,40,33.7,18.2,6.1,13.9,44.10%,3.6,7.5,47.80%,2.6,6.4,39.80%,3.4,4.1,82.40%,0.3,1.3,1.6,3.1,2.3,0.9,0.1,2
Jackie Young,"$169,950 ",--,40,40,31.5,17.6,6.2,11.9,52.30%,4,7,57.60%,2.2,5,44.90%,2.9,3.4,86.70%,0.7,3.4,4,3.8,1.8,1.3,0.1,2
Brittney Griner,"$150,000 ",UFA,31,31,27.6,17.5,7.1,12.6,56.00%,7,12.3,57.10%,0,0.3,11.10%,3.4,4.4,77.20%,1.2,5.1,6.3,2.2,2.1,0.5,1.6,2.1
Rhyne Howard,"$80,943 ",Rookie,39,39,32.9,17.5,5.8,15.1,38.50%,3.3,7.8,41.50%,2.5,7.2,35.20%,3.3,4.2,78.80%,0.7,4.3,4.9,3.5,1.9,1.3,0.6,2.8
DeWanna Bonner,"$200,000 ",UFA,40,40,30.1,17.4,5.8,13.7,42.50%,4,8,49.40%,1.9,5.7,32.90%,3.9,4.5,86.20%,0.9,4.7,5.6,2.2,1.5,1.1,0.6,1.6
Allisha Gray,"$185,000 ",RFA,38,38,32.7,17.1,5.8,12.4,46.50%,4.7,9.3,50.10%,1.1,3.1,35.60%,4.4,5.4,82.40%,1.2,3.7,4.9,3.1,1.9,1.1,0.4,2.6
Sabrina Ionescu,"$202,000 ",--,36,36,31.5,17,5.4,12.8,42.30%,1.9,4.9,38.30%,3.6,7.9,44.80%,2.6,3,87.20%,0.8,4.8,5.6,5.4,2.6,1,0.3,1.7
Elena Delle Donne,,Core,23,23,27.5,16.7,6.2,12.7,48.50%,5.1,10.1,50.90%,1,2.7,39.30%,3.3,3.5,93.80%,0.9,4.6,5.4,2.1,1.3,0.8,0.9,1.9
Natasha Howard,"$234,350 ",Core,39,39,33,16.5,6.3,13.8,45.80%,5.4,10.6,50.70%,1,3.3,29.90%,2.8,3.5,81.50%,2.2,5.9,8,2.6,2.8,1.3,1.2,3.6
Diana Taurasi,"$234,936 ",UFA,26,26,27.3,16,4.9,12.2,40.30%,2.5,5,48.90%,2.5,7.2,34.20%,3.7,4.3,84.80%,0.1,3.5,3.6,4.6,3,0.5,0.5,2.6
