"Player.Name","Salary","Position","Age","Team","GP","GS","AST","STL","BLK","PTS","FG","FGA","Total.Minutes"
"Stephen Curry",48070014,"PG",34,"GSW",56,56,6.3,0.9,0.4,29.4,10,20.2,1941
"John Wall",47345760,"PG",32,"LAC",34,3,5.2,0.8,0.4,11.4,4.1,9.9,755
"Russell Westbrook",47080179,"PG",34,"LAL/LAC",73,24,7.5,1,0.5,15.9,5.9,13.6,2126
"LeBron James",44474988,"PF",38,"LAL",55,54,6.8,0.9,0.6,28.9,11.1,22.2,1954
"Kevin Durant",44119845,"PF",34,"BRK/PHO",47,47,5,0.7,1.4,29.1,10.3,18.3,1672
"Bradley Beal",43279250,"SG",29,"WAS",50,50,5.4,0.9,0.7,23.2,8.9,17.6,1673
"Kawhi Leonard",42492492,"SF",31,"LAC",52,50,3.9,1.4,0.5,23.8,8.6,16.8,1748
"Paul George",42492492,"SF",32,"LAC",56,56,5.1,1.5,0.4,23.8,8.2,17.9,1939
"Giannis Antetokounmpo",42492492,"PF",28,"MIL",63,63,5.7,0.8,0.8,31.1,11.2,20.3,2024
"Damian Lillard",42492492,"PG",32,"POR",58,58,7.3,0.9,0.3,32.2,9.6,20.7,2107
"Klay Thompson",40600080,"SF",32,"GSW",69,69,2.4,0.7,0.4,21.9,7.9,18.1,2279
"Kyrie Irving",38917057,"PG-SG",30,"BRK/DAL",60,60,5.5,1.1,0.8,27.1,9.9,20.1,2241
"Rudy Gobert",38172414,"C",30,"MIN",70,70,1.2,0.8,1.4,13.4,5.1,7.8,2148
"Khris Middleton",37984276,"SF",31,"MIL",33,19,4.9,0.7,0.2,15.1,5.4,12.3,801
"Anthony Davis",37980720,"C",29,"LAL",56,54,2.6,1.1,2,25.9,9.7,17.2,1904
"Jimmy Butler",37653300,"PF",33,"MIA",64,64,5.3,1.8,0.3,22.9,7.5,13.9,2138
"Tobias Harris",37633050,"SF",30,"PHI",74,74,2.5,0.9,0.5,14.7,5.7,11.4,2436
"Kemba Walker",37281261,"PG",32,"DAL",9,1,2.1,0.2,0.2,8,2.7,6.3,144
"Trae Young",37096500,"PG",24,"ATL",73,73,10.2,1.1,0.1,26.2,8.2,19,2541
"Zach LaVine",37096500,"SG",27,"CHI",77,77,4.2,0.9,0.2,24.8,8.7,18,2768
"Ben Simmons",35448672,"PG",26,"BRK",42,33,6.1,1.3,0.6,6.9,3.2,5.6,1105
"Pascal Siakam",35448672,"PF",28,"TOR",71,71,5.8,0.9,0.5,24.2,8.9,18.5,2652
"Myles Turner",35096500,"C",26,"IND",62,62,1.4,0.6,2.3,18,6.5,11.8,1825
"Jrue Holiday",34319520,"PG",32,"MIL",67,65,7.4,1.2,0.4,19.3,7.3,15.3,2183
"Karl-Anthony Towns",33833400,"PF",27,"MIN",29,29,4.8,0.7,0.6,20.8,7.3,14.8,957
"Devin Booker",33833400,"SG",26,"PHO",53,53,5.5,1,0.3,27.8,9.9,20.1,1835
"Andrew Wiggins",33616770,"SF",27,"GSW",37,37,2.3,1.2,0.8,17.1,6.8,14.3,1190
"Joel Embiid",33616770,"C",28,"PHI",66,66,4.2,1,1.7,33.1,11,20.1,2284
"CJ McCollum",33333333,"SG",31,"NOP",75,75,5.7,0.9,0.5,20.9,7.8,17.9,2649
"James Harden",3.3e+07,"PG",33,"PHI",58,58,10.7,1.2,0.5,21,6.4,14.5,2135
"Jamal Murray",31650600,"PG",25,"DEN",65,65,6.2,1,0.2,20,7.3,16,2133
"Brandon Ingram",31650600,"SF",25,"NOP",45,45,5.8,0.7,0.4,24.7,9,18.6,1538
"D'Angelo Russell",31377750,"PG",26,"LAL/MIN",71,71,6.2,1,0.4,17.8,6.3,13.4,2304
"Donovan Mitchell",30913750,"SG",26,"CLE",68,68,4.4,1.5,0.4,28.3,10,20.6,2432
"Shai Gilgeous-Alexander",30913750,"PG",24,"OKC",68,68,5.5,1.6,1,31.4,10.4,20.3,2416
"Deandre Ayton",30913750,"C",24,"PHO",67,67,1.7,0.6,0.8,18,7.8,13.2,2035
"Kevin Love",30556968,"PF",34,"CLE/MIA",62,20,1.9,0.3,0.2,8.2,2.7,6.8,1240
"Jayson Tatum",30351780,"SF",24,"BOS",74,74,4.6,1.1,0.7,30.1,9.8,21.1,2732
"Bam Adebayo",30351780,"C",25,"MIA",75,75,3.2,1.2,0.8,20.4,8,14.9,2598
"De'Aaron Fox",30351780,"PG",25,"SAC",73,73,6.1,1.1,0.3,25,9.3,18.2,2435
"Gordon Hayward",30075000,"SF",32,"CHO",50,50,4.1,0.8,0.2,14.7,5.5,11.6,1577
"Jaylen Brown",29776785,"SF",26,"BOS",67,67,3.5,1.1,0.4,26.6,10.1,20.6,2405
"Chris Paul",28400000,"PG",37,"PHO",59,59,8.9,1.5,0.4,13.9,5,11.3,1889
"Kyle Lowry",28333334,"PG",36,"MIA",55,44,5.1,1,0.4,11.2,3.6,8.8,1718
"Jalen Brunson",27733332,"PG",26,"NYK",68,68,6.2,0.9,0.2,24,8.6,17.6,2379
"DeMar DeRozan",27300000,"SF",33,"CHI",74,74,5.1,1.1,0.5,24.5,8.9,17.6,2682
"Al Horford",26500000,"C",36,"BOS",63,63,3,0.5,1,9.8,3.6,7.6,1922
"Draymond Green",25806468,"PF",32,"GSW",73,73,6.8,1,0.8,8.5,3.4,6.5,2297
"Julius Randle",23760000,"PF",28,"NYK",77,77,4.1,0.6,0.3,25.1,8.5,18.6,2737
"John Collins",23500000,"PF",25,"ATL",71,71,1.2,0.6,1,13.1,5.1,10,2130
"Mike Conley",22680000,"PG",35,"MIN/UTA",67,66,6.7,1.1,0.2,11.9,3.9,9.1,2029
"Malcolm Brogdon",22600000,"PG",30,"BOS",67,0,3.7,0.7,0.3,14.9,5.3,10.9,1744
"Anfernee Simons",22321429,"SG",23,"POR",62,62,4.1,0.7,0.2,21.1,7.5,16.9,2171
"Terry Rozier",21486316,"SG",28,"CHO",63,63,5.1,1.2,0.3,21.1,7.8,18.9,2221
"Fred VanVleet",21250000,"PG",28,"TOR",69,69,7.2,1.8,0.6,19.3,6.3,16.1,2535
"Buddy Hield",21177750,"SF",30,"IND",80,73,2.8,1.2,0.3,16.8,5.9,13,2482
"Domantas Sabonis",21100000,"C",26,"SAC",79,79,7.3,0.8,0.5,19.1,7.3,11.9,2736
"Jerami Grant",20955000,"PF",28,"POR",63,63,2.4,0.8,0.8,20.5,6.9,14.5,2246
"Aaron Gordon",20690909,"PF",27,"DEN",68,68,3,0.8,0.8,16.3,6.3,11.2,2055
"Mikal Bridges",20100000,"SF-SG",26,"BRK/PHO",83,83,3.3,1.1,0.7,20.1,7.1,15.3,2963
"Jarrett Allen",2e+07,"C",24,"CLE",68,68,1.7,0.8,1.2,14.3,5.9,9.2,2220
"Nicolas Batum",19700319,"PF",34,"LAC",78,19,1.6,0.7,0.6,6.1,2.1,4.9,1709
"Eric Gordon",19568360,"SG",34,"HOU/LAC",69,58,2.7,0.6,0.4,12.4,4.2,9.5,1965
"Spencer Dinwiddie",19500000,"SG-PG",29,"BRK/DAL",79,79,6.5,0.8,0.3,17.3,5.8,13.3,2725
"Caris LeVert",18796296,"SG",28,"CLE",74,30,3.9,1,0.3,12.1,4.3,10,2237
"Joe Harris",18642857,"SF",31,"BRK",74,33,1.4,0.5,0.2,7.6,2.7,5.9,1527
"Harrison Barnes",18352273,"PF",30,"SAC",82,82,1.6,0.7,0.1,15,4.6,9.6,2662
"Clint Capela",18206896,"C",28,"ATL",65,63,0.9,0.7,1.2,12,5.4,8.2,1730
"Evan Fournier",1.8e+07,"SG",30,"NYK",27,7,1.3,0.6,0.1,6.1,2.1,6.1,459
