"PLAYER","X2024.SALARY","X2024.SIGNING","G","GS","MIN","PTS","AST","STL","BLK","FGM","FGA"
"Jewell Loyd",241984,"Core",38,38,"35.4","24.7","3.4","1","0.4","7.5","20.3"
"Breanna Stewart",205000,"Core",40,40,"34.1","23","3.8","1.5","1.6","7.9","17"
"A'ja Wilson",2e+05,"RFA",40,40,"30.7","22.8","1.6","1.4","2.2000000000000002","8.4","15"
"Napheesa Collier",208219,"--",37,37,"33.5","21.5","2.5","1.6","1.2","8","16.600000000000001"
"Arike Ogunbowale",241984,"--",40,40,"37.200000000000003","21.2","4.5","1.7","0.1","7.5","18.8"
"Nneka Ogwumike",204500,"UFA",36,36,"31.1","19.100000000000001","2.7","1.7","0.7","7.3","14.3"
"Kahleah Copper",241984,"Core",38,38,"31.2","18.7","2","0.9","0.3","6.9","15.4"
"Kelsey Plum",2e+05,"--",39,39,"32.4","18.7","4.5","1.1000000000000001","0","6.4","13.4"
"Satou Sabally",195000,"RFA",38,38,"33.1","18.600000000000001","4.4000000000000004","1.8","0.4","6.2","14.3"
"Kelsey Mitchell",212000,"--",40,40,"33.700000000000003","18.2","3.1","0.9","0.1","6.1","13.9"
"Jackie Young",169950,"--",40,40,"31.5","17.600000000000001","3.8","1.3","0.1","6.2","11.9"
"Brittney Griner",150000,"UFA",31,31,"27.6","17.5","2.2000000000000002","0.5","1.6","7.1","12.6"
"Rhyne Howard",80943,"Rookie",39,39,"32.9","17.5","3.5","1.3","0.6","5.8","15.1"
"DeWanna Bonner",2e+05,"UFA",40,40,"30.1","17.399999999999999","2.2000000000000002","1.1000000000000001","0.6","5.8","13.7"
"Allisha Gray",185000,"RFA",38,38,"32.700000000000003","17.100000000000001","3.1","1.1000000000000001","0.4","5.8","12.4"
"Sabrina Ionescu",202000,"--",36,36,"31.5","17","5.4","1","0.3","5.4","12.8"
"Elena Delle Donne",NA,"Core",23,23,"27.5","16.7","2.1","0.8","0.9","6.2","12.7"
"Natasha Howard",234350,"Core",39,39,"33","16.5","2.6","1.3","1.2","6.3","13.8"
"Diana Taurasi",234936,"UFA",26,26,"27.3","16","4.5999999999999996","0.5","0.5","4.9000000000000004","12.2"
"Brionna Jones",212000,"Core",13,13,"31.7","15.9","2.4","1.8","0.5","6.2","10.8"
"Brittney Sykes",190000,"UFA",40,40,"31.3","15.9","3.8","2.1","0.3","5.7","13.1"
"Alyssa Thomas",218000,"UFA",40,40,"36.1","15.5","7.9","1.8","0.5","6.1","12.8"
"NaLyssa Smith",80943,"Rookie",31,28,"28.5","15.5","1.4","0.3","0.3","6.1","12.7"
"Chelsea Gray",196267,"UFA",40,40,"32.200000000000003","15.3","7.3","1.4","0.6","5.6","11.5"
"Marina Mabrey",208000,"RFA",39,39,"30","15","3.6","0.7","0.5","5.2","12.6"
